"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2026-04-07","savabs","copilot","copilot_premium_request","GPT-5.4","14","requests","0.04","0.5599999999999999","0.5599999999999999","0","False","1500","","","193.22873499999997","1.9322873500000006"
"2026-04-08","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","8.136425000000001","0.08136425"
"2026-04-08","savabs","copilot","copilot_premium_request","Claude Opus 4.6","18","requests","0.04","0.72","0.72","0","False","1500","","","1766.2569499999993","17.662569500000004"
"2026-04-08","savabs","copilot","copilot_premium_request","GPT-5.4","2","requests","0.04","0.08","0.08","0","False","1500","","","43.771105000000006","0.43771105000000005"
"2026-04-09","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","144.219375","1.4421937500000006"
"2026-04-09","savabs","copilot","copilot_premium_request","Claude Opus 4.6","45","requests","0.04","1.8000000000000007","1.8000000000000007","0","False","1500","","","5661.564174999997","56.61564174999997"
"2026-04-09","savabs","copilot","copilot_premium_request","GPT-5.4","6","requests","0.04","0.24000000000000002","0.24000000000000002","0","False","1500","","","93.80857499999999","0.93808575"
"2026-04-10","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","38.302769999999995","0.3830277000000001"
"2026-04-10","savabs","copilot","copilot_premium_request","Claude Opus 4.6","33","requests","0.04","1.3200000000000003","1.3200000000000003","0","False","1500","","","3368.1809499999986","33.6818095"
"2026-04-10","savabs","copilot","copilot_premium_request","GPT-5.4","23","requests","0.04","0.9200000000000003","0.9200000000000003","0","False","1500","","","319.05783","3.1905783000000008"
"2026-04-11","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","18.796735","0.18796735"
"2026-04-11","savabs","copilot","copilot_premium_request","Claude Opus 4.6","12","requests","0.04","0.48","0.48","0","False","1500","","","1454.4563249999987","14.544563250000005"
"2026-04-12","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","214.91798000000003","2.1491797999999993"
"2026-04-12","savabs","copilot","copilot_premium_request","Claude Opus 4.6","69","requests","0.04","2.7600000000000016","2.7600000000000016","0","False","1500","","","6599.105924999999","65.99105925000002"
"2026-04-12","savabs","copilot","copilot_premium_request","GPT-5.4","4","requests","0.04","0.16","0.16","0","False","1500","","","124.91646999999999","1.2491647000000001"
"2026-04-13","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","135.427675","1.3542767500000004"
"2026-04-13","savabs","copilot","copilot_premium_request","Claude Opus 4.6","108","requests","0.04","4.320000000000003","4.320000000000003","0","False","1500","","","5702.588200000002","57.025882000000024"
"2026-04-13","savabs","copilot","copilot_premium_request","GPT-5.4","12","requests","0.04","0.4799999999999999","0.4799999999999999","0","False","1500","","","191.194885","1.9119488499999997"
"2026-04-14","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","79.31703","0.7931702999999998"
"2026-04-14","savabs","copilot","copilot_premium_request","Claude Opus 4.6","84","requests","0.04","3.360000000000002","3.360000000000002","0","False","1500","","","7640.0322000000015","76.40032200000002"
"2026-04-14","savabs","copilot","copilot_premium_request","GPT-5.4","24","requests","0.04","0.9600000000000003","0.9600000000000003","0","False","1500","","","380.30006000000014","3.803000599999999"
"2026-04-15","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","110.96596500000004","1.1096596500000007"
"2026-04-15","savabs","copilot","copilot_premium_request","Claude Opus 4.6","105","requests","0.04","4.200000000000003","4.200000000000003","0","False","1500","","","8798.347874999996","87.98347875000005"
"2026-04-15","savabs","copilot","copilot_premium_request","GPT-5.4","23","requests","0.04","0.9200000000000003","0.9200000000000003","0","False","1500","","","738.6719550000001","7.386719549999997"
"2026-04-16","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","26.40246","0.2640246"
"2026-04-16","savabs","copilot","copilot_premium_request","Claude Opus 4.6","15","requests","0.04","0.6","0.6","0","False","1500","","","3476.462799999997","34.76462799999997"
"2026-04-16","savabs","copilot","copilot_premium_request","GPT-5.4","6","requests","0.04","0.24000000000000002","0.24000000000000002","0","False","1500","","","439.42269","4.3942269000000005"
"2026-04-17","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","86.50258000000002","0.8650258000000001"
"2026-04-17","savabs","copilot","copilot_premium_request","Claude Opus 4.6","24","requests","0.04","0.96","0.96","0","False","1500","","","3841.37645","38.41376449999998"
"2026-04-17","savabs","copilot","copilot_premium_request","GPT-5.4","12","requests","0.04","0.4799999999999999","0.4799999999999999","0","False","1500","","","581.928865","5.819288650000005"
"2026-04-18","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","24.598650000000003","0.2459865"
"2026-04-18","savabs","copilot","copilot_premium_request","Claude Opus 4.6","6","requests","0.04","0.24","0.24","0","False","1500","","","2910.3301500000007","29.1033015"
"2026-04-18","savabs","copilot","copilot_premium_request","GPT-5.4","4","requests","0.04","0.16","0.16","0","False","1500","","","95.493895","0.9549389500000001"
"2026-04-19","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","52.144665","0.5214466499999999"
"2026-04-19","savabs","copilot","copilot_premium_request","Claude Opus 4.6","18","requests","0.04","0.72","0.72","0","False","1500","","","3011.3520750000002","30.113520749999992"
"2026-04-19","savabs","copilot","copilot_premium_request","GPT-5.4","14","requests","0.04","0.5599999999999999","0.5599999999999999","0","False","1500","","","433.29132000000004","4.332913199999998"
"2026-04-20","savabs","copilot","copilot_premium_request","Auto: GPT-5.3-Codex","0.9","requests","0.04","0.036","0.036","0","False","1500","","","26.377973999999995","0.26377974"
"2026-04-20","savabs","copilot","copilot_premium_request","Auto: GPT-5.4","0.9","requests","0.04","0.036","0.036","0","False","1500","","","39.5005275","0.39500527500000004"
"2026-04-20","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","40.503399999999985","0.40503400000000006"
"2026-04-20","savabs","copilot","copilot_premium_request","Claude Opus 4.6","21","requests","0.04","0.84","0.84","0","False","1500","","","3249.850674999996","32.49850675"
"2026-04-20","savabs","copilot","copilot_premium_request","GPT-5.4","1","requests","0.04","0.04","0.04","0","False","1500","","","44.69269","0.4469269"
"2026-04-21","savabs","copilot","copilot_premium_request","Claude Opus 4.7","15","requests","0.04","0.6","0.6","0","False","1500","","","1470.2543999999996","14.702544000000001"
"2026-04-21","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","7","requests","0.04","0.28","0.28","0","False","1500","","","528.3011249999998","5.283011250000004"
"2026-04-21","savabs","copilot","copilot_premium_request","GPT-5.4","3","requests","0.04","0.12","0.12","0","False","1500","","","24.75417","0.2475417"
"2026-04-22","savabs","copilot","copilot_premium_request","Claude Opus 4.7","15","requests","0.04","0.6","0.6","0","False","1500","","","1149.1084000000003","11.491083999999994"
"2026-04-22","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","73","requests","0.04","2.9200000000000017","2.9200000000000017","0","False","1500","","","4331.290499999994","43.31290500000002"
"2026-04-22","savabs","copilot","copilot_premium_request","GPT-5.4","2","requests","0.04","0.08","0.08","0","False","1500","","","44.60680000000001","0.446068"
"2026-04-23","savabs","copilot","copilot_premium_request","Claude Haiku 4.5","0","requests","0.04","0","0","0","False","1500","","","30.116594999999997","0.30116595"
"2026-04-23","savabs","copilot","copilot_premium_request","Claude Opus 4.7","30","requests","0.04","1.2","1.2","0","False","1500","","","710.3016","7.103016"
"2026-04-23","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","43","requests","0.04","1.7200000000000009","1.7200000000000009","0","False","1500","","","2090.786429999999","20.907864300000007"
"2026-04-23","savabs","copilot","copilot_premium_request","GPT-5.4","3","requests","0.04","0.12","0.12","0","False","1500","","","49.53451999999999","0.4953452"
"2026-04-24","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","102","requests","0.04","4.080000000000003","4.080000000000003","0","False","1500","","","1425.4117200000005","14.2541172"
"2026-04-25","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","9","requests","0.04","0.36","0.36","0","False","1500","","","137.50722","1.3750722"
"2026-04-27","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","67","requests","0.04","2.6800000000000015","2.6800000000000015","0","False","1500","","","1111.8669149999998","11.118669149999997"
"2026-04-27","savabs","copilot","copilot_premium_request","GPT-5.4","12","requests","0.04","0.4799999999999999","0.4799999999999999","0","False","1500","","","162.39590500000003","1.6239590500000003"
"2026-04-28","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","42","requests","0.04","1.6800000000000008","1.6800000000000008","0","False","1500","","","1801.0543049999999","18.01054305"
"2026-04-29","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","16","requests","0.04","0.64","0.64","0","False","1500","","","394.25635500000004","3.942563549999999"
"2026-04-30","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","32.199999999","requests","0.04","1.2879999990000004","1.2879999990000004","0","False","1500","","","415.19113500000003","4.15191135"
"2026-04-30","savabs","copilot","copilot_premium_request","Claude Sonnet 4.6","10.8","requests","0.04","0.432","0","0.432","True","1500","","","239.10525","2.3910525"
"2026-04-30","savabs","copilot","copilot_premium_request","GPT-4.1","4","requests","0.04","0","0","0","False","0","","","48.89919999999999","0.4889919999999999"
"2026-04-30","savabs","copilot","copilot_premium_request","GPT-4o","1","requests","0.04","0","0","0","False","0","","","39.4945","0.39494500000000005"
